id,location_id,forecast_date,temperature_c,humidity_gm3,fetched_at
1,1,2025-05-25T08:50:22Z,26.6,11.0,2025-05-25 05:50:22
2,1,2025-05-26T08:50:22Z,22.8,6.4,2025-05-25 05:50:22
3,1,2025-05-27T08:50:22Z,24.7,9.7,2025-05-25 05:50:22
4,1,2025-05-28T08:50:22Z,27.1,8.8,2025-05-25 05:50:23
5,1,2025-05-29T08:50:22Z,24.7,9.5,2025-05-25 05:50:23
6,1,2025-05-30T08:50:22Z,25.2,11.3,2025-05-25 05:50:23
7,1,2025-05-31T08:50:22Z,21.5,7.1,2025-05-25 05:50:23
8,2,2025-05-25T08:50:22Z,29.4,14.3,2025-05-25 05:50:23
9,2,2025-05-26T08:50:22Z,29.1,13.9,2025-05-25 05:50:24
10,2,2025-05-27T08:50:22Z,28.1,13.2,2025-05-25 05:50:24
11,2,2025-05-28T08:50:22Z,25.4,13.6,2025-05-25 05:50:24
12,2,2025-05-29T08:50:22Z,25.6,12.9,2025-05-25 05:50:24
13,2,2025-05-30T08:50:22Z,24.3,12.4,2025-05-25 05:50:24
14,2,2025-05-31T08:50:22Z,24.0,13.2,2025-05-25 05:50:25
15,3,2025-05-25T08:50:22Z,15.7,10.8,2025-05-25 05:50:25
16,3,2025-05-26T08:50:22Z,19.9,7.7,2025-05-25 05:50:25
17,3,2025-05-27T08:50:22Z,23.6,10.6,2025-05-25 05:50:25
18,3,2025-05-28T08:50:22Z,23.6,9.3,2025-05-25 05:50:25
19,3,2025-05-29T08:50:22Z,24.2,9.7,2025-05-25 05:50:25
20,3,2025-05-30T08:50:22Z,24.3,11.0,2025-05-25 05:50:26
21,3,2025-05-31T08:50:22Z,19.0,6.9,2025-05-25 05:50:26
22,1,2025-05-25T08:53:49Z,26.5,11.0,2025-05-25 05:53:49
23,1,2025-05-26T08:53:49Z,22.9,6.3,2025-05-25 05:53:49
24,1,2025-05-27T08:53:49Z,24.8,9.7,2025-05-25 05:53:49
25,1,2025-05-28T08:53:49Z,27.2,8.7,2025-05-25 05:53:49
26,1,2025-05-29T08:53:49Z,26.0,8.2,2025-05-25 05:53:49
27,1,2025-05-30T08:53:49Z,25.3,11.3,2025-05-25 05:53:50
28,1,2025-05-31T08:53:49Z,21.6,7.1,2025-05-25 05:53:50
29,2,2025-05-25T08:53:49Z,29.3,14.4,2025-05-25 05:53:50
30,2,2025-05-26T08:53:49Z,29.2,13.9,2025-05-25 05:53:50
31,2,2025-05-27T08:53:49Z,28.2,13.2,2025-05-25 05:53:50
32,2,2025-05-28T08:53:49Z,25.5,13.6,2025-05-25 05:53:51
33,2,2025-05-29T08:53:49Z,26.2,13.5,2025-05-25 05:53:51
34,2,2025-05-30T08:53:49Z,24.4,12.4,2025-05-25 05:53:51
35,2,2025-05-31T08:53:49Z,24.0,13.2,2025-05-25 05:53:51
36,3,2025-05-25T08:53:49Z,15.7,10.8,2025-05-25 05:53:51
37,3,2025-05-26T08:53:49Z,19.9,7.7,2025-05-25 05:53:52
38,3,2025-05-27T08:53:49Z,23.7,10.6,2025-05-25 05:53:52
39,3,2025-05-28T08:53:49Z,23.9,10.5,2025-05-25 05:53:52
40,3,2025-05-29T08:53:49Z,24.3,9.7,2025-05-25 05:53:52
41,3,2025-05-30T08:53:49Z,24.4,11.0,2025-05-25 05:53:52
42,3,2025-05-31T08:53:49Z,19.0,6.9,2025-05-25 05:53:53
43,1,2025-05-25T10:48:22Z,24.9,12.2,2025-05-25 07:48:22
44,1,2025-05-26T10:48:22Z,24.4,6.0,2025-05-25 07:48:22
45,1,2025-05-27T10:48:22Z,26.5,8.6,2025-05-25 07:48:22
46,1,2025-05-28T10:48:22Z,25.6,9.4,2025-05-25 07:48:23
47,1,2025-05-29T10:48:22Z,25.9,8.7,2025-05-25 07:48:23
48,1,2025-05-30T10:48:22Z,17.8,12.0,2025-05-25 07:48:23
49,1,2025-05-31T10:48:22Z,24.2,11.0,2025-05-25 07:48:23
50,2,2025-05-25T10:48:22Z,28.3,14.7,2025-05-25 07:48:23
51,2,2025-05-26T10:48:22Z,31.3,12.4,2025-05-25 07:48:24
52,2,2025-05-27T10:48:22Z,27.7,13.3,2025-05-25 07:48:24
53,2,2025-05-28T10:48:22Z,26.1,14.4,2025-05-25 07:48:24
54,2,2025-05-29T10:48:22Z,26.1,13.2,2025-05-25 07:48:24
55,2,2025-05-30T10:48:22Z,24.4,13.0,2025-05-25 07:48:24
56,2,2025-05-31T10:48:22Z,21.0,13.2,2025-05-25 07:48:25
57,3,2025-05-25T10:48:22Z,15.7,10.6,2025-05-25 07:48:25
58,3,2025-05-26T10:48:22Z,21.7,8.0,2025-05-25 07:48:25
59,3,2025-05-27T10:48:22Z,24.8,10.7,2025-05-25 07:48:25
60,3,2025-05-28T10:48:22Z,24.9,10.1,2025-05-25 07:48:25
61,3,2025-05-29T10:48:22Z,24.8,10.1,2025-05-25 07:48:25
62,3,2025-05-30T10:48:22Z,22.8,9.8,2025-05-25 07:48:26
63,3,2025-05-31T10:48:22Z,25.1,10.0,2025-05-25 07:48:26
